experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,name,formula,reactant_mass,product_mass,atom_economy
Water synthesis_calc,f64,96,5000,19382.7874,19382.7874,19382.7874,0,52083.333333333336,Water synthesis | 2H₂ + O₂ → 2H₂O | M(react)=36.0300 g/mol | M(prod)=36.0300 g/mol | Atom economy=100.0%,Synthesis,Water synthesis,2H₂ + O₂ → 2H₂O,36.0300 g/mol,36.0300 g/mol,100.0%
Ammonia synthesis (Haber)_calc,f64,80,5000,16018.2688,16018.2688,16018.2688,0,62500,Ammonia synthesis (Haber) | N₂ + 3H₂ → 2NH₃ | M(react)=34.0620 g/mol | M(prod)=34.0620 g/mol | Atom economy=100.0%,Synthesis,Ammonia synthesis (Haber),N₂ + 3H₂ → 2NH₃,34.0620 g/mol,34.0620 g/mol,100.0%
Sodium chloride_calc,f64,146,5000,29278.169,29278.169,29278.169,0,34246.57534246575,Sodium chloride | 2Na + Cl₂ → 2NaCl | M(react)=116.8795 g/mol | M(prod)=116.8795 g/mol | Atom economy=100.0%,Synthesis,Sodium chloride,2Na + Cl₂ → 2NaCl,116.8795 g/mol,116.8795 g/mol,100.0%
