experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,method,parent,daughter,ratio,half_life,decay_constant,computed_age,expected_age
Jack Hills zircon_dating,f64,19,5000,3817.1985,3817.1985,3817.1985,0,263157.9,Jack Hills zircon | U-Pb (238) | D/P=1.0200 | t½=4.4680e9 years | Computed: 4532.5 Myr | Expected: 4400 Myr,Hadean,U,Jack Hills zircon,U-Pb (238),²³⁸U,²⁰⁶Pb,1.0200,4.4680e9 years,4.9156e-18 s⁻¹,4532.5 Myr,4400 Myr
Acasta Gneiss_dating,f64,18,5000,3712.4143,3712.4143,3712.4143,0,277777.78,Acasta Gneiss | U-Pb (238) | D/P=0.8500 | t½=4.4680e9 years | Computed: 3965.7 Myr | Expected: 4030 Myr,Hadean,U,Acasta Gneiss,U-Pb (238),²³⁸U,²⁰⁶Pb,0.8500,4.4680e9 years,4.9156e-18 s⁻¹,3965.7 Myr,4030 Myr
