experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,from,to,conversion
Earth mass_convert,f64,38,10000,3833.5047,3833.5047,3833.5047,0,263157.8947368421,Earth mass | 5972000000000000000000000 kg → 1.316601e25 lb,Mass,kg,Earth mass,5972000000000000000000000 kg,1.316601e25 lb,5972000000000000000000000 kg → 1.316601e25 lb
Proton mass_convert,f64,38,10000,3802.6587,3802.6587,3802.6587,0,263157.8947368421,Proton mass | 0.000000000000000000000000001672 kg → 1.006902e0 amu,Mass,kg,Proton mass,0.000000000000000000000000001672 kg,1.006902e0 amu,0.000000000000000000000000001672 kg → 1.006902e0 amu
