experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,from,to,conversion
Human body temp_convert,f64,35,10000,3572.5196,3572.5196,3572.5196,0,285714.28571428574,Human body temp | 37 °C → 3.101500e2 K,Temperature,°C,Human body temp,37 °C,3.101500e2 K,37 °C → 3.101500e2 K
Liquid nitrogen_convert,f64,40,10000,4050.5977,4050.5977,4050.5977,0,250000,Liquid nitrogen | 77.36 K → -1.957900e2 °C,Temperature,K,Liquid nitrogen,77.36 K,-1.957900e2 °C,77.36 K → -1.957900e2 °C
Sun surface_convert,f64,49,10000,4939.8179,4939.8179,4939.8179,0,204081.6326530612,Sun surface | 5778 K → 9.940730e3 °F,Temperature,K,Sun surface,5778 K,9.940730e3 °F,5778 K → 9.940730e3 °F
