experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,spectral,mass,radius,temperature,luminosity,abs_magnitude,schwarzschild,ms_lifetime,wien_peak
Sun_stellar,f64,8,5000,1744.2892,1744.2892,1744.2892,0,625000,Sun (G2V) | L=3.844e26 W | M_abs=4.83 | R_s=2954.28 m | MS lifetime=0.0 Myr | Wien λ_max=502 nm,Main Sequence,G,Sun,G2V,1.000 M☉,1.000 R☉,5778 K,3.844e26 W,4.83,2954.28 m,0.0 Myr,502 nm
Sirius A_stellar,f64,8,5000,1677.3152,1677.3152,1677.3152,0,625000,Sirius A (A1V) | L=9.856e27 W | M_abs=1.43 | R_s=6094.67 m | MS lifetime=0.0 Myr | Wien λ_max=292 nm,Main Sequence,A,Sirius A,A1V,2.063 M☉,1.711 R☉,9940 K,9.856e27 W,1.43,6094.67 m,0.0 Myr,292 nm
Vega_stellar,f64,8,5000,1681.6492,1681.6492,1681.6492,0,625000,Vega (A0V) | L=1.636e28 W | M_abs=0.60 | R_s=6307.38 m | MS lifetime=0.0 Myr | Wien λ_max=302 nm,Main Sequence,A,Vega,A0V,2.135 M☉,2.362 R☉,9602 K,1.636e28 W,0.60,6307.38 m,0.0 Myr,302 nm
