experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,spectral,mass,radius,temperature,luminosity,abs_magnitude,schwarzschild,ms_lifetime,wien_peak
Proxima Centauri_stellar,f64,8,5000,1704.2712,1704.2712,1704.2712,0,625000,Proxima Centauri (M5.5Ve) | L=7.022e23 W | M_abs=15.56 | R_s=360.42 m | MS lifetime=0.0 Myr | Wien λ_max=953 nm,Red Dwarf,M,Proxima Centauri,M5.5Ve,0.122 M☉,0.154 R☉,3042 K,7.022e23 W,15.56,360.42 m,0.0 Myr,953 nm
Barnard's Star_stellar,f64,8,5000,1759.2052,1759.2052,1759.2052,0,625000,Barnard's Star (M4Ve) | L=1.278e24 W | M_abs=13.19 | R_s=425.42 m | MS lifetime=0.0 Myr | Wien λ_max=925 nm,Red Dwarf,M,Barnard's Star,M4Ve,0.144 M☉,0.196 R☉,3134 K,1.278e24 W,13.19,425.42 m,0.0 Myr,925 nm
