experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,target,module,status,elapsed_ms
hub_001,f64,5552,1,5552000000,5552000000,5552000000,0,0.18011527,success=true code=Some(0) stdout_bytes=168 stderr_bytes=202,hb01,DE,hb001,hub,cross_domain,ok,5552
hub_002,f64,3374,1,3374000000,3374000000,3374000000,0,0.29638413,success=true code=Some(0) stdout_bytes=174 stderr_bytes=202,hb01,HZI,hb002,hub,cross_domain,ok,3374
hub_003,f64,1037,1,1037000000,1037000000,1037000000,0,0.9643202,success=true code=Some(0) stdout_bytes=174 stderr_bytes=254,hb01,HZO,hb003,hub,cross_domain,ok,1037
hub_004,f64,327,1,327000000,327000000,327000000,0,3.058104,success=true code=Some(0) stdout_bytes=169 stderr_bytes=202,hb01,SG,hb004,hub,cross_domain,ok,327
hub_005,f64,268,1,268000000,268000000,268000000,0,3.7313433,success=true code=Some(0) stdout_bytes=169 stderr_bytes=197,hb01,USF,hb005,hub,cross_domain,ok,268
hub_006,f64,287,1,287000000,287000000,287000000,0,3.4843206,success=true code=Some(0) stdout_bytes=184 stderr_bytes=202,hb01,DET,hb006,hub,cross_domain,ok,287
hub_007,f64,5662,1,5662000000,5662000000,5662000000,0,0.17661604,success=true code=Some(0) stdout_bytes=169 stderr_bytes=254,hb01,FT,hb007,hub,cross_domain,ok,5662
hub_008,f64,588,1,588000000,588000000,588000000,0,1.7006803,success=true code=Some(0) stdout_bytes=166 stderr_bytes=254,hb01,JM,hb008,hub,cross_domain,ok,588
hub_009,f64,365,1,365000000,365000000,365000000,0,2.739726,success=true code=Some(0) stdout_bytes=173 stderr_bytes=306,hb01,SR,hb009,hub,cross_domain,ok,365
hub_010,f64,3346,1,3346000000,3346000000,3346000000,0,0.2988643,success=true code=Some(0) stdout_bytes=172 stderr_bytes=254,hb01,CW,hb010,hub,cross_domain,ok,3346
