experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,target,module,status,elapsed_ms
physics_011,f64,5679,1,5679000000,5679000000,5679000000,0,0.17608733932030288,success=true code=Some(0) stdout_bytes=169 stderr_bytes=262,ph02,CPP,ph011,physics,electrodynamics,ok,5679
physics_012,f64,6843,1,6843000000,6843000000,6843000000,0,0.14613473622680112,success=true code=Some(0) stdout_bytes=170 stderr_bytes=314,ph02,EFP,ph012,physics,electrodynamics,ok,6843
physics_013,f64,9979,1,9979000000,9979000000,9979000000,0,0.1002104419280489,success=true code=Some(0) stdout_bytes=153 stderr_bytes=262,ph02,SD,ph013,physics,electrodynamics,ok,9979
physics_014,f64,6870,1,6870000000,6870000000,6870000000,0,0.14556040756914118,success=true code=Some(0) stdout_bytes=170 stderr_bytes=262,ph02,CPP,ph014,physics,electromagnetism,ok,6870
physics_015,f64,9625,1,9625000000,9625000000,9625000000,0,0.1038961038961039,success=true code=Some(0) stdout_bytes=171 stderr_bytes=262,ph02,EFP,ph015,physics,electromagnetism,ok,9625
physics_016,f64,9585,1,9585000000,9585000000,9585000000,0,0.10432968179447052,success=true code=Some(0) stdout_bytes=163 stderr_bytes=262,ph02,IS,ph016,physics,electromagnetism,ok,9585
physics_017,f64,9883,1,9883000000,9883000000,9883000000,0,0.10118385105737124,success=true code=Some(0) stdout_bytes=163 stderr_bytes=262,ph02,MFW,ph017,physics,electromagnetism,ok,9883
physics_018,f64,10163,1,10163000000,10163000000,10163000000,0,0.09839614287119945,success=true code=Some(0) stdout_bytes=153 stderr_bytes=262,ph02,ML,ph018,physics,electromagnetism,ok,10163
physics_019,f64,5012,1,5012000000,5012000000,5012000000,0,0.19952114924181963,success=true code=Some(0) stdout_bytes=177 stderr_bytes=262,ph02,MLQ,ph019,physics,electromagnetism,ok,5012
physics_020,f64,5055,1,5055000000,5055000000,5055000000,0,0.19782393669634027,success=true code=Some(0) stdout_bytes=155 stderr_bytes=210,ph02,OC,ph020,physics,electromagnetism,ok,5055
