experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,Z,A,N,half_life,decay_constant,decay_mode,specific_activity,remaining_3hl,binding_energy
Uranium_238_decay,f64,11,5000,2211.1084,2211.1084,2211.1084,0,454545.45454545453,²³⁸U (Uranium) | t½=4.468e9 years | λ=4.9156e-18 s⁻¹ | alpha | A_sp=1.244e4 Bq/g,Alpha,²³⁸U,Uranium,92,238,146,4.468e9 years,4.9156e-18 s⁻¹,alpha,1.244e4 Bq/g,125000 / 1M after 3 half-lives,7.571 MeV/nucleon
Uranium_235_decay,f64,11,5000,2212.5104,2212.5104,2212.5104,0,454545.45454545453,²³⁵U (Uranium) | t½=704000000.00 years | λ=3.1197e-17 s⁻¹ | alpha | A_sp=7.995e4 Bq/g,Alpha,²³⁵U,Uranium,92,235,143,704000000.00 years,3.1197e-17 s⁻¹,alpha,7.995e4 Bq/g,125000 / 1M after 3 half-lives,7.565 MeV/nucleon
Thorium_232_decay,f64,11,5000,2288.2604,2288.2604,2288.2604,0,454545.45454545453,²³²Th (Thorium) | t½=1.405e10 years | λ=1.5632e-18 s⁻¹ | alpha | A_sp=4.058e3 Bq/g,Alpha,²³²Th,Thorium,90,232,142,1.405e10 years,1.5632e-18 s⁻¹,alpha,4.058e3 Bq/g,125000 / 1M after 3 half-lives,7.570 MeV/nucleon
Plutonium_239_decay,f64,11,5000,2226.7124,2226.7124,2226.7124,0,454545.45454545453,²³⁹Pu (Plutonium) | t½=24110.00 years | λ=9.1094e-13 s⁻¹ | alpha | A_sp=2.295e9 Bq/g,Alpha,²³⁹Pu,Plutonium,94,239,145,24110.00 years,9.1094e-13 s⁻¹,alpha,2.295e9 Bq/g,125000 / 1M after 3 half-lives,7.563 MeV/nucleon
Americium_241_decay,f64,11,5000,2238.9024,2238.9024,2238.9024,0,454545.45454545453,²⁴¹Am (Americium) | t½=432.20 years | λ=5.0816e-11 s⁻¹ | alpha | A_sp=1.270e11 Bq/g,Alpha,²⁴¹Am,Americium,95,241,146,432.20 years,5.0816e-11 s⁻¹,alpha,1.270e11 Bq/g,125000 / 1M after 3 half-lives,7.561 MeV/nucleon
