experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,mass,radius,semi_major,kepler_period,circular_vel,escape_vel,hohmann_dv
Uranus_orbit,f64,9,5000,1820.3704,1820.3704,1820.3704,0,555555.5555555555,Uranus | T=30727.34 days | v_circ=6.80 km/s | v_esc=21.38 km/s | Hohmann Δv=15.94 km/s,Ice Giant,⛢,Uranus,8.681e25 kg,25362 km,19.201 AU,30727.34 days,6.80 km/s,21.38 km/s,15.94 km/s
Neptune_orbit,f64,8,5000,1726.0204,1726.0204,1726.0204,0,625000,Neptune | T=60151.16 days | v_circ=5.43 km/s | v_esc=23.56 km/s | Hohmann Δv=15.71 km/s,Ice Giant,♆,Neptune,1.024e26 kg,24622 km,30.048 AU,60151.16 days,5.43 km/s,23.56 km/s,15.71 km/s
