experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,mass,radius,semi_major,kepler_period,circular_vel,escape_vel,hohmann_dv
Jupiter_orbit,f64,8,5000,1797.7231,1797.7231,1797.7231,0,625000,Jupiter | T=4335.92 days | v_circ=13.06 km/s | v_esc=60.20 km/s | Hohmann Δv=14.44 km/s,Gas Giant,♃,Jupiter,1.898e27 kg,69911 km,5.204 AU,4335.92 days,13.06 km/s,60.20 km/s,14.44 km/s
Saturn_orbit,f64,9,5000,1849.6613,1849.6613,1849.6613,0,555555.56,Saturn | T=10832.57 days | v_circ=9.62 km/s | v_esc=36.09 km/s | Hohmann Δv=15.74 km/s,Gas Giant,♄,Saturn,5.683e26 kg,58232 km,9.582 AU,10832.57 days,9.62 km/s,36.09 km/s,15.74 km/s
