experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,altitude,temperature,pressure,relative_humidity,saturation_vp,dew_point,density_altitude,potential_temp,mixing_ratio,lcl
McMurdo Base_weather,f64,29,5000,5812.6714,5812.6714,5812.6714,0,172413.8,McMurdo Base | 10m | -18.0 °C | RH=60% | Td=-23.9 °C | DA=-3948 m | θ=257.3 K,Polar,Mc,McMurdo Base,10 m,-18.0 °C,984.0 hPa,60%,1.49 hPa,-23.9 °C,-3948 m,257.3 K,0.57 g/kg,602 m AGL
Reykjavik_weather,f64,28,5000,5642.683,5642.683,5642.683,0,178571.42,Reykjavik | 61m | 4.6 °C | RH=82% | Td=1.8 °C | DA=-1172 m | θ=278.4 K,Polar,R,Reykjavik,61 m,4.6 °C,1005.0 hPa,82%,8.48 hPa,1.8 °C,-1172 m,278.4 K,4.33 g/kg,287 m AGL
